NAME	TITLE	SCORE	
LRP1	na	0.23220323	
LSM4	na	0.2319071	
MAGEC1	na	0.2317694	
CTPS	na	0.23162779	
IRS1	na	0.23153107	
EYA4	na	0.23146607	
SGTA	na	0.23142509	
TCEA1	na	0.23101854	
HNRNPAB	na	0.23076822	
LMO4	na	0.23053074	
KIAA1279	na	0.23024006	
MRPS11	na	0.23023117	
MYL2	na	0.23022646	
ATP5G3	na	0.23007818	
RNF103	na	0.22995652	
ENPEP	na	0.22974595	
DYNC2LI1	na	0.2297052	
PAFAH1B3	na	0.22970274	
FN1	na	0.22968961	
NBR1	na	0.22956283	
YWHAH	na	0.22954656	
GFRA1	na	0.22947593	
PIK3CD	na	0.22920859	
ULK2	na	0.22891861	
PLA2G2A	na	0.22879744	
TNNC2	na	0.22874331	
SEL1L3	na	0.22852187	
DAP	na	0.22825901	
TAX1BP3	na	0.22769803	
MEGF9	na	0.2268158	
HMGN3	na	0.2266531	
MAGEA1	na	0.22644803	
UBE2K	na	0.22623521	
STAT5B	na	0.22612478	
RUVBL1	na	0.226097	
DCTN3	na	0.22595312	
COG4	na	0.22578013	
LRRC42	na	0.22563267	
NRAS	na	0.22535793	
SCCPDH	na	0.22479486	
HSPB11	na	0.2246407	
SUSD5	na	0.22460699	
BID	na	0.22448198	
TMEM97	na	0.22437902	
ITGB3BP	na	0.22434612	
COL6A1	na	0.22411908	
DUT	na	0.22400941	
AP3S1	na	0.22394852	
EIF4E	na	0.22311884	
PHTF2	na	0.22282472	
TSC22D1	na	0.22282402	
